study_day,doy,sample_code,zoop_group,life_stage,order,raw_count,samp_vol,subsamp_vol,trap_vol
0,172,QAC_0418,bos_tot,adult,cladocera,339,25,11,30
0,172,QAC_0418,bos_e,egg,cladocera,5,25,11,30
0,172,QAC_0418,dgal_grp,adult,cladocera,1,25,25,30
0,172,QAC_0418,dibir,adult,cladocera,4,25,25,30
0,172,QAC_0418,hogla,adult,cladocera,1,25,25,30
0,172,QAC_0418,copnc,nauplii,copepoda,129,25,3,30
0,172,QAC_0418,lsegg,egg,copepoda,40,25,25,30
0,172,QAC_0418,tcexta_f,f_adult,cyclopoida,8,25,25,30
0,172,QAC_0418,tcexta_m,m_adult,cyclopoida,4,25,25,30
0,172,QAC_0418,tcexta_a,adult,cyclopoida,12,25,25,30
0,172,QAC_0418,tcexta_e,egg,cyclopoida,10,25,25,30
0,172,QAC_0418,cyc13,c13,cyclopoida,5,25,25,30
0,172,QAC_0418,dpmina_f,f_adult,calanoida,15,25,25,30
0,172,QAC_0418,dpmina_m,m_adult,calanoida,5,25,25,30
0,172,QAC_0418,dpmina_a,adult,calanoida,20,25,25,30
0,172,QAC_0418,dpmina_e,egg,calanoida,4,25,25,30
0,172,QAC_0418,eplacc,c45,calanoida,1,25,25,30
0,172,QAC_0418,cal13,c13,calanoida,6,25,25,30
0,172,QAC_0419,bos_tot,adult,cladocera,334,20,9,30
0,172,QAC_0419,bos_e,egg,cladocera,1,20,9,30
0,172,QAC_0419,dgal_grp,adult,cladocera,1,20,20,30
0,172,QAC_0419,dibir,adult,cladocera,1,20,20,30
0,172,QAC_0419,copnc,nauplii,copepoda,176,20,3,30
0,172,QAC_0419,lsegg,egg,copepoda,50,20,20,30
0,172,QAC_0419,tcexta_f,f_adult,cyclopoida,13,20,20,30
0,172,QAC_0419,tcexta_m,m_adult,cyclopoida,1,20,20,30
0,172,QAC_0419,tcexta_a,adult,cyclopoida,14,20,20,30
0,172,QAC_0419,tcextc,c45,cyclopoida,3,20,20,30
0,172,QAC_0419,tcexta_e,egg,cyclopoida,32,20,20,30
0,172,QAC_0419,cyc13,c13,cyclopoida,10,20,20,30
0,172,QAC_0419,dpmina_f,f_adult,calanoida,15,20,20,30
0,172,QAC_0419,dpmina_m,m_adult,calanoida,11,20,20,30
0,172,QAC_0419,dpmina_a,adult,calanoida,26,20,20,30
0,172,QAC_0419,dpminc,c45,calanoida,4,20,20,30
0,172,QAC_0419,cal13,c13,calanoida,7,20,20,30
0,172,QAC_0420,bos_tot,adult,cladocera,356,20,5,30
0,172,QAC_0420,bos_e,egg,cladocera,1,20,5,30
0,172,QAC_0420,dgal_grp,adult,cladocera,1,20,20,30
0,172,QAC_0420,dibir,adult,cladocera,3,20,20,30
0,172,QAC_0420,hogla,adult,cladocera,2,20,20,30
0,172,QAC_0420,hogla_e,egg,cladocera,2,20,20,30
0,172,QAC_0420,copnc,nauplii,copepoda,184,20,3,30
0,172,QAC_0420,lsegg,egg,copepoda,30,20,20,30
0,172,QAC_0420,mcruba_f,f_adult,cyclopoida,3,20,20,30
0,172,QAC_0420,mcruba_m,m_adult,cyclopoida,1,20,20,30
0,172,QAC_0420,mcruba_a,adult,cyclopoida,4,20,20,30
0,172,QAC_0420,mcrubc,c45,cyclopoida,5,20,20,30
0,172,QAC_0420,tcexta_f,f_adult,cyclopoida,22,20,20,30
0,172,QAC_0420,tcexta_m,m_adult,cyclopoida,9,20,20,30
0,172,QAC_0420,tcexta_a,adult,cyclopoida,31,20,20,30
0,172,QAC_0420,tcextc,c45,cyclopoida,7,20,20,30
0,172,QAC_0420,tcexta_e,egg,cyclopoida,53,20,20,30
0,172,QAC_0420,cyc13,c13,cyclopoida,13,20,20,30
0,172,QAC_0420,dpmina_f,f_adult,calanoida,54,20,20,30
0,172,QAC_0420,dpmina_m,m_adult,calanoida,49,20,20,30
0,172,QAC_0420,dpmina_a,adult,calanoida,103,20,20,30
0,172,QAC_0420,dpminc,c45,calanoida,14,20,20,30
0,172,QAC_0420,dpmina_e,egg,calanoida,40,20,20,30
0,172,QAC_0420,eplaca_f,f_adult,calanoida,1,20,20,30
0,172,QAC_0420,eplaca_a,adult,calanoida,1,20,20,30
0,172,QAC_0420,eplacc,c45,calanoida,1,20,20,30
0,172,QAC_0420,cal13,c13,calanoida,9,20,20,30
0,172,QAC_0421,bos_tot,adult,cladocera,305,15,12,15
0,172,QAC_0421,bos_e,egg,cladocera,4,15,12,15
0,172,QAC_0421,dibir,adult,cladocera,3,15,15,15
0,172,QAC_0421,hogla,adult,cladocera,2,15,15,15
